Time,Count,Cpu Load,Temp,Cpu Freq,Cpu Mem,Cpu Disk,IR Lamp,Hrs to Sunrise,Hrs to Sunset,
05/06/2020 16:36:19,1,12.9%,58.91C,1.5GHz,32.0%,39.8%,Off,12.18,4.92,
05/06/2020 16:36:30,2,13.8%,58.43C,1.5GHz,32.4%,39.8%,Off,12.18,4.92,
05/06/2020 16:36:41,3,19.3%,57.94C,1.0GHz,32.4%,39.8%,Off,12.17,4.91,
05/06/2020 16:36:52,4,21.5%,57.94C,1.0GHz,32.4%,39.8%,Off,12.17,4.91,
05/06/2020 16:37:03,5,14.4%,56.97C,1.0GHz,32.4%,39.8%,Off,12.17,4.91,
05/06/2020 16:37:14,6,13.8%,57.94C,1.0GHz,32.4%,39.8%,Off,12.17,4.9,
05/06/2020 16:37:25,7,12.4%,58.43C,1.5GHz,32.4%,39.8%,Off,12.16,4.9,
05/06/2020 16:37:36,8,14.1%,57.45C,0.75GHz,32.4%,39.8%,Off,12.16,4.9,
05/06/2020 16:37:47,9,13.1%,56.97C,1.0GHz,32.2%,39.8%,Off,12.16,4.9,
05/06/2020 16:37:58,10,16.0%,57.94C,0.75GHz,32.4%,39.8%,Off,12.15,4.89,
05/06/2020 16:38:09,11,27.8%,58.91C,1.5GHz,32.5%,39.8%,Off,12.15,4.89,
05/06/2020 16:38:20,12,17.0%,58.91C,0.75GHz,32.7%,39.8%,Off,12.15,4.89,
05/06/2020 16:38:31,13,16.1%,58.43C,0.75GHz,32.6%,39.8%,Off,12.14,4.88,
05/06/2020 16:38:42,14,20.2%,57.94C,0.75GHz,32.5%,39.8%,Off,12.14,4.88,
05/06/2020 16:38:53,15,43.2%,59.89C,1.5GHz,33.0%,39.8%,Off,12.14,4.88,
05/06/2020 16:39:04,16,12.8%,58.91C,0.75GHz,32.8%,39.8%,Off,12.13,4.87,
05/06/2020 16:39:15,17,35.1%,58.43C,1.5GHz,32.7%,39.8%,Off,12.13,4.87,
05/06/2020 16:39:26,18,29.1%,59.4C,1.0GHz,32.8%,39.8%,Off,12.13,4.87,
05/06/2020 16:39:37,19,29.4%,58.43C,1.0GHz,32.6%,39.8%,Off,12.13,4.87,
05/06/2020 16:39:48,20,19.2%,59.4C,1.5GHz,32.6%,39.8%,Off,12.12,4.86,
05/06/2020 16:39:59,21,20.5%,58.91C,1.5GHz,32.6%,39.8%,Off,12.12,4.86,
