Time,Count,Cpu Load-%,Temp-C,Cpu Freq-GHz,Cpu Mem-%,Cpu Disk-%,IR Lamp,Hrs to Sunrise,Hrs to Sunset,
05/06/2020 18:23:19,1,16.8,63.3,1.5,41.5,39.8,Off,10.4,3.14,
05/06/2020 18:23:30,2,14.1,62.81,1.0,41.7,39.8,Off,10.39,3.13,
05/06/2020 18:23:41,3,11.5,63.3,1.5,41.7,39.8,Off,10.39,3.13,
05/06/2020 18:23:52,4,10.3,62.32,1.5,41.7,39.8,Off,10.39,3.13,
05/06/2020 18:24:03,5,8.7,62.32,1.5,41.7,39.8,Off,10.38,3.12,
05/06/2020 18:24:14,6,17.5,61.35,1.0,41.7,39.8,Off,10.38,3.12,
05/06/2020 18:24:25,7,44.2,62.32,1.5,41.4,39.8,Off,10.38,3.12,
05/06/2020 18:24:36,8,22.9,62.81,1.0,41.4,39.8,Off,10.38,3.12,
05/06/2020 18:24:48,9,12.9,62.32,1.5,41.4,39.8,Off,10.37,3.11,
05/06/2020 18:24:59,10,18.9,62.32,1.5,41.4,39.8,Off,10.37,3.11,
05/06/2020 18:25:10,11,13.7,61.84,1.5,41.3,39.8,Off,10.37,3.11,
05/06/2020 18:25:21,12,10.8,61.84,1.5,41.3,39.8,Off,10.36,3.1,
05/06/2020 18:25:33,13,10.6,61.35,1.5,41.3,39.8,Off,10.36,3.1,
05/06/2020 18:25:44,14,13.0,60.86,1.0,41.2,39.8,Off,10.36,3.1,
05/06/2020 18:25:55,15,16.1,61.84,0.75,41.2,39.8,Off,10.35,3.09,
05/06/2020 18:26:06,16,18.8,61.35,1.0,41.2,39.8,Off,10.35,3.09,
05/06/2020 18:26:17,17,11.1,61.35,1.5,41.2,39.8,Off,10.35,3.09,
05/06/2020 18:26:28,18,14.7,61.35,1.0,41.3,39.8,Off,10.34,3.08,
05/06/2020 18:26:39,19,15.5,60.86,1.0,41.5,39.8,Off,10.34,3.08,
05/06/2020 18:26:50,20,12.7,60.86,1.5,41.3,39.8,Off,10.34,3.08,
05/06/2020 18:27:01,21,13.4,61.35,0.75,41.3,39.8,Off,10.34,3.07,
05/06/2020 18:27:12,22,16.0,61.84,1.0,41.3,39.8,Off,10.33,3.07,
05/06/2020 18:27:24,23,19.4,60.37,1.0,41.3,39.8,Off,10.33,3.07,
05/06/2020 18:27:35,24,18.8,60.86,1.0,41.3,39.8,Off,10.33,3.07,
05/06/2020 18:27:46,25,13.0,59.89,0.75,41.3,39.8,Off,10.32,3.06,
05/06/2020 18:27:57,26,12.5,59.89,1.5,41.3,39.8,Off,10.32,3.06,
05/06/2020 18:28:08,27,15.0,60.37,1.0,41.3,39.8,Off,10.32,3.06,
05/06/2020 18:28:19,28,11.5,59.89,0.75,41.3,39.8,Off,10.31,3.05,
05/06/2020 18:28:31,29,13.8,59.89,1.0,41.3,39.8,Off,10.31,3.05,
05/06/2020 18:28:42,30,9.3,59.89,1.0,41.3,39.8,Off,10.31,3.05,
05/06/2020 18:28:53,31,21.3,59.4,1.5,41.3,39.8,Off,10.3,3.04,
05/06/2020 18:29:04,32,15.6,59.89,1.5,41.3,39.8,Off,10.3,3.04,
05/06/2020 18:29:15,33,13.7,59.89,1.5,41.4,39.8,Off,10.3,3.04,
05/06/2020 18:29:26,34,14.6,59.4,1.0,41.5,39.8,Off,10.29,3.03,
05/06/2020 18:29:37,35,11.8,60.37,1.0,41.3,39.8,Off,10.29,3.03,
05/06/2020 18:29:48,36,15.3,59.89,1.5,41.2,39.8,Off,10.29,3.03,
05/06/2020 18:30:00,37,11.7,59.4,1.5,41.2,39.8,Off,10.29,3.03,
05/06/2020 18:30:11,38,33.0,59.4,1.5,40.0,39.8,Off,10.28,3.02,
05/06/2020 18:30:22,39,18.9,60.37,1.0,39.7,39.8,Off,10.28,3.02,
05/06/2020 18:30:33,40,15.2,59.89,0.75,39.9,39.8,Off,10.28,3.02,
05/06/2020 18:30:44,41,13.7,59.89,0.75,39.8,39.8,Off,10.27,3.01,
05/06/2020 18:30:55,42,14.4,59.89,1.5,39.8,39.8,Off,10.27,3.01,
05/06/2020 18:31:06,43,15.1,60.37,1.0,39.9,39.8,Off,10.27,3.01,
05/06/2020 18:31:17,44,16.5,59.4,1.0,39.7,39.8,Off,10.26,3.0,
05/06/2020 18:31:29,45,12.9,59.4,1.5,39.8,39.8,Off,10.26,3.0,
05/06/2020 18:31:40,46,19.1,59.89,1.5,39.8,39.8,Off,10.26,3.0,
05/06/2020 18:31:51,47,16.3,59.4,1.5,39.8,39.8,Off,10.25,2.99,
05/06/2020 18:32:02,48,13.1,59.4,1.5,39.8,39.8,Off,10.25,2.99,
05/06/2020 18:32:13,49,13.2,58.91,1.5,39.8,39.8,Off,10.25,2.99,
05/06/2020 18:32:24,50,12.7,59.4,1.5,39.8,39.8,Off,10.25,2.99,
05/06/2020 18:32:35,51,15.7,59.4,1.5,39.8,39.8,Off,10.24,2.98,
05/06/2020 18:32:46,52,13.5,58.91,1.0,39.8,39.8,Off,10.24,2.98,
05/06/2020 18:32:58,53,12.5,59.4,1.5,39.8,39.8,Off,10.24,2.98,
05/06/2020 18:33:09,54,21.2,59.4,1.5,39.8,39.8,Off,10.23,2.97,
05/06/2020 18:33:20,55,19.3,58.91,1.0,39.8,39.8,Off,10.23,2.97,
05/06/2020 18:33:31,56,14.5,59.4,1.5,39.8,39.8,Off,10.23,2.97,
05/06/2020 18:33:42,57,13.9,57.94,1.0,39.8,39.8,Off,10.22,2.96,
05/06/2020 18:33:53,58,14.1,58.43,0.75,39.8,39.8,Off,10.22,2.96,
05/06/2020 18:34:04,59,13.4,59.4,1.0,40.0,39.8,Off,10.22,2.96,
05/06/2020 18:34:15,60,16.7,58.91,1.0,39.8,39.8,Off,10.21,2.95,
